GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shop_project_detail,com.example.shop_project_detail.exception,NotEnoughInventoryException,4,0,0,0,2,0,1,0,1,0
shop_project_detail,com.example.shop_project_detail.exception,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
shop_project_detail,com.example.shop_project_detail.dao,Order_ProductDaoImpl,280,3,6,0,76,1,10,1,7,1
shop_project_detail,com.example.shop_project_detail.dao,WatchListDaoImpl,110,3,2,0,30,1,4,1,3,1
shop_project_detail,com.example.shop_project_detail.dao,ProductDaoImpl,156,3,0,0,42,1,6,1,6,1
shop_project_detail,com.example.shop_project_detail.dao,OrderDaoImpl,532,9,16,0,136,4,20,1,12,1
shop_project_detail,com.example.shop_project_detail.dao,LoginDaoImpl,63,3,2,0,16,1,4,1,3,1
shop_project_detail,com.example.shop_project_detail.dao,RegisterDaoImpl,78,3,0,0,24,1,4,1,4,1
shop_project_detail,com.example.shop_project_detail.aop,OrderPlacementAspect,18,7,0,0,6,2,3,1,3,1
shop_project_detail,com.example.shop_project_detail.aop,AopExceptionHandler,20,3,0,0,2,1,2,1,2,1
shop_project_detail,com.example.shop_project_detail.service,ProductService,5,35,0,0,1,11,1,6,1,6
shop_project_detail,com.example.shop_project_detail.service,Order_ProductService,12,29,0,0,3,9,3,5,3,5
shop_project_detail,com.example.shop_project_detail.service,WatchListService,0,23,0,0,0,8,0,4,0,4
shop_project_detail,com.example.shop_project_detail.service,LoginService,80,6,4,0,20,3,6,1,4,1
shop_project_detail,com.example.shop_project_detail.service,OrderService,24,38,0,0,6,11,5,7,5,7
shop_project_detail,com.example.shop_project_detail.controller,UserPurchaseController,163,116,17,9,24,25,14,5,1,5
shop_project_detail,com.example.shop_project_detail.controller,AdminController,0,74,1,3,0,20,1,11,0,10
shop_project_detail,com.example.shop_project_detail.controller,ProductController,0,59,4,6,0,12,4,5,0,4
shop_project_detail,com.example.shop_project_detail.controller,WatchListController,52,48,9,3,9,12,7,3,1,3
shop_project_detail,com.example.shop_project_detail,ShopProjectDetailApplication,5,3,0,0,2,1,1,1,1,1
shop_project_detail,com.example.shop_project_detail.security,JwtFilter,36,0,2,0,12,0,4,0,3,0
shop_project_detail,com.example.shop_project_detail.security,JwtProvider,49,3,0,0,12,1,2,1,2,1
shop_project_detail,com.example.shop_project_detail.security,AuthUserDetail.AuthUserDetailBuilder,98,0,0,0,1,0,10,0,10,0
shop_project_detail,com.example.shop_project_detail.security,AuthUserDetail,49,0,0,0,8,0,9,0,9,0
